Date,Primary Value,Status,pm25,pm10,o3,no2,so2,co
7/10/2022,17,Good,17,11,15,3,1,1
7/9/2022,28,Good,28,11,12,2,2,1
7/8/2022,22,Good,22,13,13,2,1,1
7/7/2022,16,Good,16,10,15,2,2,2
7/6/2022,28,Good,28,9,14,1,1,1
7/5/2022,31,Good,31,17,14,1,1,1
7/4/2022,20,Good,20,19,18,1,1,1
7/3/2022,22,Good,22,20,13,0,1,1
7/2/2022,42,Good,42,12,22,2,1,3
7/1/2022,36,Good,36,24,26,2,1,4
6/30/2022,19,Good,19,24,40,2,1,4
6/29/2022,14,Good,14,16,14,1,1,4
6/28/2022,21,Good,21,13,12,1,1,4
6/27/2022,24,Good,24,10,22,1,2,4
6/26/2022,27,Good,27,12,19,1,1,4
6/25/2022,33,Good,33,11,18,2,2,4
6/24/2022,35,Good,35,15,25,2,3,4
6/23/2022,23,Good,23,17,25,1,2,4
6/22/2022,28,Good,28,15,15,1,2,4
6/21/2022,34,Good,34,14,15,1,1,4
6/20/2022,44,Good,44,13,17,4,1,4
6/19/2022,27,Good,27,19,12,7,1,3
6/18/2022,42,Good,42,11,15,7,1,14
6/17/2022,33,Good,33,15,39,9,5,8
6/16/2022,40,Good,40,16,16,12,1,5
6/15/2022,49,Good,49,19,17,13,1,5
6/14/2022,39,Good,39,19,12,10,1,5
6/13/2022,51,Moderate,51,19,16,8,1,5
6/12/2022,30,Good,30,28,28,11,1,6